x,y,u,v,p,T
0.684547,0.728969,0.728969,-0.684547,1.93459,0
0.661312,0.750111,0.750111,-0.661312,1.90884,0
0.637424,0.770513,0.770513,-0.637424,1.88085,0
0.612907,0.790155,0.790155,-0.612907,1.85132,0
0.587785,0.809017,0.809017,-0.587785,1.82065,0
0.562083,0.827081,0.827081,-0.562083,1.78793,0
0.535827,0.844328,0.844328,-0.535827,1.75367,0
0.509041,0.860742,0.860742,-0.509041,1.71797,0
0.481754,0.876307,0.876307,-0.481754,1.68073,0
0.45399,0.891007,0.891007,-0.45399,1.64248,0
0.425779,0.904827,0.904827,-0.425779,1.60313,0
0.397148,0.917755,0.917755,-0.397148,1.5631,0
0.368125,0.929776,0.929776,-0.368125,1.52234,0
0.338738,0.940881,0.940881,-0.338738,1.48002,0
0.309017,0.951057,0.951057,-0.309017,1.43747,0
0.278991,0.960294,0.960294,-0.278991,1.39442,0
0.24869,0.968583,0.968583,-0.24869,1.35059,0
0.218143,0.975917,0.975917,-0.218143,1.30742,0
0.187381,0.982287,0.982287,-0.187381,1.26354,0
0.156434,0.987688,0.987688,-0.156434,1.21978,0
0.125333,0.992115,0.992115,-0.125333,1.17603,0
0.0941083,0.995562,0.995562,-0.0941083,1.13236,0
0.0627905,0.998027,0.998027,-0.0627905,1.08912,0
0.0314108,0.999507,0.999507,-0.0314108,1.04603,0
-4.15762e-15,1,1,4.15762e-15,1.00272,0
-0.0314108,0.999507,0.999507,0.0314108,0.960722,0
-0.0627905,0.998027,0.998027,0.0627905,0.920043,0
-0.0941083,0.995562,0.995562,0.0941083,0.879375,0
-0.125333,0.992115,0.992115,0.125333,0.839287,0
-0.156434,0.987688,0.987688,0.156434,0.799669,0
-0.187381,0.982287,0.982287,0.187381,0.76228,0
-0.218143,0.975917,0.975917,0.218143,0.725197,0
-0.24869,0.968583,0.968583,0.24869,0.690465,0
-0.278991,0.960294,0.960294,0.278991,0.655493,0
-0.309017,0.951057,0.951057,0.309017,0.62226,0
-0.338738,0.940881,0.940881,0.338738,0.590064,0
-0.368125,0.929776,0.929776,0.368125,0.558421,0
-0.397148,0.917755,0.917755,0.397148,0.528427,0
-0.425779,0.904827,0.904827,0.425779,0.500363,0
-0.45399,0.891007,0.891007,0.45399,0.473649,0
-0.481754,0.876307,0.876307,0.481754,0.447825,0
